Name,Age,Location,Gender,Income,Assets,Debts,Monthly Expenses,Investment Preference,Type of Advice Sought,User Financial Goal,Action Based on Advice,Feedback on Advice,App Usability Feedback,Trust Level with Digital Advisor
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",69544.19,0.0,2360.57,Mutual Funds,Debt Management,Debt Reduction,Implemented,Unsatisfied,Satisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",56588.5,0.0,3832.15,Fixed Deposits,Retirement Planning,High ROI Investments,Seeking Further Consultation,Satisfied,Satisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",23182.41,1046.3,4532.87,Bonds,Tax Planning,Debt Reduction,Partially Implemented,Neutral,Very Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",47971.29,0.0,823.51,Gold,Savings Plan,Increase Savings,Seeking Further Consultation,Neutral,Very Unsatisfied,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",76978.79,4845.49,2380.94,Gold,Debt Management,Debt Reduction,Partially Implemented,Very Satisfied,Neutral,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",12616.96,0.0,4495.65,Fixed Deposits,Retirement Planning,Retirement Fund Building,Not Implemented,Neutral,Very Satisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",25848.34,4469.29,4658.88,Gold,Investment Strategy,Tax Savings,Implemented,Neutral,Unsatisfied,Low
*,*,*,*,*,90837.08,0.0,995.09,*,Tax Planning,Tax Savings,Not Implemented,Unsatisfied,Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",65633.44,4305.77,1949.86,Cryptocurrency,Investment Strategy,Increase Savings,Not Implemented,Unsatisfied,Satisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",72675.91,0.0,1366.74,Fixed Deposits,Investment Strategy,Increase Savings,Seeking Further Consultation,Very Unsatisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",24525.53,0.0,3723.36,Fixed Deposits,Investment Strategy,Retirement Fund Building,Not Implemented,Very Unsatisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",78252.64,804.34,4901.07,Gold,Savings Plan,Increase Savings,Implemented,Very Satisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",48914.06,4251.38,822.22,Real Estate,Savings Plan,Debt Reduction,Partially Implemented,Unsatisfied,Satisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",97613.54,467.04,1285.9,Real Estate,Savings Plan,High ROI Investments,Seeking Further Consultation,Very Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",76927.03,151.6,3286.98,Mutual Funds,Savings Plan,Retirement Fund Building,Seeking Further Consultation,Unsatisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",24048.11,0.0,4576.32,Real Estate,Debt Management,Debt Reduction,Partially Implemented,Very Unsatisfied,Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",63166.79,0.0,4961.35,Mutual Funds,Debt Management,High ROI Investments,Implemented,Very Unsatisfied,Satisfied,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",5748.77,0.0,4686.44,Fixed Deposits,Retirement Planning,Debt Reduction,Seeking Further Consultation,Neutral,Satisfied,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",42785.81,626.09,4826.56,Cryptocurrency,Investment Strategy,Tax Savings,Not Implemented,Very Satisfied,Unsatisfied,Low
*,*,*,*,*,91183.45,0.0,3931.93,*,Savings Plan,High ROI Investments,Not Implemented,Satisfied,Unsatisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",86652.64,0.0,3463.99,Mutual Funds,Savings Plan,Debt Reduction,Seeking Further Consultation,Neutral,Satisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",42309.12,2964.44,1685.36,Stocks,Debt Management,Retirement Fund Building,Not Implemented,Neutral,Unsatisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",46667.0,2452.03,4056.85,Gold,Investment Strategy,Debt Reduction,Seeking Further Consultation,Very Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",71506.55,0.0,4320.43,Mutual Funds,Retirement Planning,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Satisfied,High
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",8583.79,0.0,3180.17,Real Estate,Debt Management,Retirement Fund Building,Not Implemented,Satisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",63277.43,0.0,2107.41,Mutual Funds,Tax Planning,High ROI Investments,Partially Implemented,Very Satisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",77875.48,0.0,4550.6,Bonds,Investment Strategy,Retirement Fund Building,Implemented,Very Satisfied,Neutral,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",59388.17,4576.29,3832.95,Mutual Funds,Investment Strategy,Increase Savings,Seeking Further Consultation,Very Satisfied,Unsatisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",43284.23,1457.32,3239.39,Fixed Deposits,Retirement Planning,Tax Savings,Seeking Further Consultation,Unsatisfied,Very Satisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",7745.11,2090.59,3012.41,Real Estate,Tax Planning,Increase Savings,Implemented,Unsatisfied,Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",19073.97,0.0,3551.61,Fixed Deposits,Savings Plan,Retirement Fund Building,Seeking Further Consultation,Very Unsatisfied,Unsatisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",48856.47,0.0,4313.48,Fixed Deposits,Savings Plan,Tax Savings,Partially Implemented,Unsatisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",41600.1,0.0,4896.12,Mutual Funds,Tax Planning,Increase Savings,Partially Implemented,Very Unsatisfied,Very Satisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",28129.27,0.0,3284.39,Cryptocurrency,Debt Management,Debt Reduction,Partially Implemented,Very Satisfied,Unsatisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",80124.2,0.0,1711.66,Mutual Funds,Investment Strategy,Retirement Fund Building,Seeking Further Consultation,Satisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",64025.25,2416.42,4491.81,Mutual Funds,Savings Plan,Tax Savings,Seeking Further Consultation,Unsatisfied,Very Satisfied,High
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",30396.24,4322.27,3688.13,Gold,Savings Plan,High ROI Investments,Not Implemented,Very Satisfied,Very Unsatisfied,High
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",65191.28,0.0,4343.63,Stocks,Debt Management,Increase Savings,Not Implemented,Neutral,Neutral,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",51841.33,0.0,4928.97,Fixed Deposits,Debt Management,High ROI Investments,Partially Implemented,Neutral,Satisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",68747.19,0.0,706.2,Fixed Deposits,Tax Planning,Retirement Fund Building,Partially Implemented,Very Satisfied,Very Unsatisfied,High
*,*,*,*,*,61626.13,0.0,4257.73,*,Savings Plan,High ROI Investments,Implemented,Very Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",73752.15,2914.41,4073.73,Stocks,Debt Management,Tax Savings,Partially Implemented,Very Unsatisfied,Very Satisfied,Low
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",50231.96,0.0,4605.37,Real Estate,Debt Management,Tax Savings,Partially Implemented,Unsatisfied,Satisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",24147.79,0.0,4639.97,Bonds,Tax Planning,High ROI Investments,Implemented,Very Unsatisfied,Satisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",38765.53,0.0,2784.59,Real Estate,Tax Planning,Debt Reduction,Implemented,Very Unsatisfied,Unsatisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",92740.18,0.0,1862.29,Gold,Retirement Planning,Tax Savings,Partially Implemented,Very Satisfied,Very Satisfied,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",23988.02,0.0,2279.25,Stocks,Savings Plan,Tax Savings,Partially Implemented,Very Unsatisfied,Very Satisfied,High
*,*,*,*,*,10399.52,0.0,3994.04,*,Savings Plan,Tax Savings,Seeking Further Consultation,Neutral,Satisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",29633.02,3380.22,2098.56,Mutual Funds,Retirement Planning,High ROI Investments,Implemented,Very Unsatisfied,Very Satisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",37179.92,3350.7,3051.92,Bonds,Tax Planning,Tax Savings,Seeking Further Consultation,Satisfied,Very Satisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",83671.94,0.0,4634.42,Fixed Deposits,Savings Plan,High ROI Investments,Implemented,Very Unsatisfied,Neutral,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",41461.25,1377.6,2746.35,Fixed Deposits,Investment Strategy,Increase Savings,Seeking Further Consultation,Neutral,Neutral,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",41602.34,3370.26,4125.59,Cryptocurrency,Retirement Planning,Debt Reduction,Seeking Further Consultation,Satisfied,Neutral,Moderate
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",31867.5,0.0,2677.64,Gold,Tax Planning,Retirement Fund Building,Not Implemented,Very Unsatisfied,Satisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",44859.86,3591.11,2832.55,Real Estate,Investment Strategy,Retirement Fund Building,Implemented,Satisfied,Neutral,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",87494.58,2780.14,3892.13,Mutual Funds,Retirement Planning,Tax Savings,Seeking Further Consultation,Very Satisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",76078.84,0.0,1420.67,Gold,Retirement Planning,Debt Reduction,Implemented,Neutral,Very Unsatisfied,High
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",22850.65,0.0,953.26,Gold,Retirement Planning,High ROI Investments,Not Implemented,Neutral,Very Unsatisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",94289.42,3068.25,678.27,Gold,Debt Management,Tax Savings,Partially Implemented,Very Unsatisfied,Satisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",76373.39,231.88,2197.01,Real Estate,Savings Plan,Increase Savings,Implemented,Neutral,Satisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",69699.54,4582.98,1735.45,Gold,Retirement Planning,Increase Savings,Partially Implemented,Neutral,Neutral,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",74237.1,0.0,2458.47,Cryptocurrency,Retirement Planning,Debt Reduction,Implemented,Satisfied,Satisfied,High
*,*,*,*,*,55763.15,0.0,2039.07,*,Debt Management,Tax Savings,Implemented,Neutral,Neutral,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",31815.91,0.0,706.46,Mutual Funds,Debt Management,Increase Savings,Implemented,Satisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",41915.96,0.0,2560.23,Real Estate,Debt Management,Increase Savings,Seeking Further Consultation,Unsatisfied,Neutral,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",21607.11,0.0,3312.37,Mutual Funds,Investment Strategy,Tax Savings,Implemented,Very Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",14749.96,1550.32,4155.05,Gold,Debt Management,Tax Savings,Implemented,Very Unsatisfied,Satisfied,High
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",26371.96,0.0,1927.27,Mutual Funds,Savings Plan,Tax Savings,Seeking Further Consultation,Satisfied,Very Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",51482.85,4946.36,4994.32,Bonds,Retirement Planning,High ROI Investments,Implemented,Satisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",55219.41,3237.28,746.15,Cryptocurrency,Debt Management,Tax Savings,Implemented,Very Satisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",69740.5,2489.73,4241.56,Cryptocurrency,Tax Planning,High ROI Investments,Partially Implemented,Neutral,Unsatisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",63397.69,0.0,2761.02,Stocks,Tax Planning,Tax Savings,Not Implemented,Satisfied,Satisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",95902.08,0.0,3736.39,Stocks,Retirement Planning,Debt Reduction,Partially Implemented,Very Satisfied,Unsatisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",27406.97,131.25,3987.12,Cryptocurrency,Debt Management,Increase Savings,Implemented,Very Satisfied,Unsatisfied,High
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",18045.45,2495.06,3184.34,Gold,Investment Strategy,Debt Reduction,Implemented,Very Satisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",58652.64,0.0,736.93,Stocks,Savings Plan,Retirement Fund Building,Implemented,Very Unsatisfied,Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",61496.79,4329.49,4079.0,Fixed Deposits,Tax Planning,Tax Savings,Not Implemented,Very Unsatisfied,Neutral,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",21255.08,0.0,3088.39,Mutual Funds,Retirement Planning,Increase Savings,Not Implemented,Neutral,Very Unsatisfied,Low
*,*,*,*,*,48606.47,0.0,4054.17,*,Tax Planning,Debt Reduction,Seeking Further Consultation,Neutral,Very Unsatisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",98786.68,0.0,3047.33,Mutual Funds,Debt Management,Retirement Fund Building,Implemented,Neutral,Neutral,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",51550.97,1599.86,3145.26,Fixed Deposits,Tax Planning,Retirement Fund Building,Implemented,Satisfied,Satisfied,High
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",67620.6,0.0,1351.42,Real Estate,Investment Strategy,Increase Savings,Partially Implemented,Satisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",27982.01,2230.87,3655.89,Gold,Savings Plan,Retirement Fund Building,Partially Implemented,Satisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",14285.59,159.78,4090.83,Real Estate,Savings Plan,Tax Savings,Partially Implemented,Very Satisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",33768.84,0.0,2438.36,Gold,Investment Strategy,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Very Satisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",69563.05,0.0,2123.52,Cryptocurrency,Debt Management,Increase Savings,Seeking Further Consultation,Satisfied,Very Satisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",59127.02,310.44,3427.27,Cryptocurrency,Tax Planning,Debt Reduction,Partially Implemented,Very Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",94909.51,857.97,4134.28,Stocks,Retirement Planning,High ROI Investments,Not Implemented,Unsatisfied,Unsatisfied,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",38312.15,398.11,4459.41,Stocks,Tax Planning,Debt Reduction,Implemented,Very Satisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",35506.87,0.0,2505.08,Stocks,Savings Plan,Increase Savings,Partially Implemented,Very Unsatisfied,Very Satisfied,Low
*,*,*,*,*,48717.86,0.0,3850.42,*,Retirement Planning,Increase Savings,Partially Implemented,Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",46881.49,4191.52,2349.24,Gold,Savings Plan,Debt Reduction,Not Implemented,Satisfied,Neutral,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",61432.99,3936.67,3616.74,Cryptocurrency,Investment Strategy,Retirement Fund Building,Not Implemented,Very Satisfied,Unsatisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",20063.55,0.0,1140.03,Cryptocurrency,Tax Planning,Increase Savings,Not Implemented,Very Unsatisfied,Unsatisfied,Low
*,*,*,*,*,39186.69,0.0,2721.25,*,Debt Management,Debt Reduction,Partially Implemented,Unsatisfied,Satisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",37558.7,0.0,3730.64,Fixed Deposits,Investment Strategy,Tax Savings,Seeking Further Consultation,Satisfied,Satisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",55108.74,0.0,2527.07,Mutual Funds,Debt Management,Increase Savings,Seeking Further Consultation,Very Satisfied,Very Satisfied,High
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",26608.76,4551.04,583.98,Cryptocurrency,Investment Strategy,Increase Savings,Partially Implemented,Neutral,Very Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",48493.04,4241.17,4117.3,Gold,Retirement Planning,Debt Reduction,Not Implemented,Very Unsatisfied,Unsatisfied,Moderate
*,*,*,*,*,20049.8,3347.93,2308.15,*,Debt Management,Debt Reduction,Partially Implemented,Very Unsatisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",56268.83,0.0,665.06,Gold,Debt Management,Retirement Fund Building,Not Implemented,Satisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",56517.43,2426.47,3558.41,Cryptocurrency,Savings Plan,Retirement Fund Building,Implemented,Satisfied,Neutral,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",6494.2,0.0,2047.71,Bonds,Debt Management,Retirement Fund Building,Seeking Further Consultation,Very Satisfied,Unsatisfied,Low
*,*,*,*,*,8078.54,856.46,1141.39,*,Debt Management,Retirement Fund Building,Partially Implemented,Neutral,Unsatisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",47867.96,0.0,3653.76,Real Estate,Debt Management,Tax Savings,Partially Implemented,Unsatisfied,Very Unsatisfied,High
*,*,*,*,*,54177.98,0.0,3455.62,*,Savings Plan,High ROI Investments,Implemented,Unsatisfied,Satisfied,Moderate
*,*,*,*,*,67404.91,0.0,3461.22,*,Retirement Planning,Retirement Fund Building,Implemented,Very Satisfied,Satisfied,Moderate
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",5609.11,575.14,918.44,Real Estate,Savings Plan,Tax Savings,Implemented,Neutral,Very Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",83123.65,0.0,3792.17,Cryptocurrency,Tax Planning,Retirement Fund Building,Seeking Further Consultation,Unsatisfied,Very Satisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",20040.2,0.0,3308.07,Gold,Debt Management,Tax Savings,Partially Implemented,Satisfied,Satisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",7360.14,3529.18,1610.15,Gold,Investment Strategy,Increase Savings,Partially Implemented,Very Satisfied,Satisfied,High
*,*,*,*,*,41684.7,0.0,2858.34,*,Savings Plan,Debt Reduction,Partially Implemented,Very Unsatisfied,Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",54834.73,3367.7,1380.19,Bonds,Debt Management,Debt Reduction,Implemented,Unsatisfied,Unsatisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",11946.86,0.0,3888.52,Fixed Deposits,Retirement Planning,Debt Reduction,Partially Implemented,Very Unsatisfied,Satisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",18113.24,0.0,1497.76,Real Estate,Investment Strategy,Debt Reduction,Partially Implemented,Satisfied,Neutral,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",89388.64,2545.1,689.67,Fixed Deposits,Savings Plan,Tax Savings,Seeking Further Consultation,Neutral,Neutral,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",85070.29,0.0,692.96,Real Estate,Tax Planning,Debt Reduction,Partially Implemented,Neutral,Very Satisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",17576.3,0.0,1402.24,Gold,Savings Plan,Increase Savings,Partially Implemented,Very Unsatisfied,Neutral,Moderate
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",21448.45,4791.1,4507.61,Mutual Funds,Investment Strategy,High ROI Investments,Partially Implemented,Unsatisfied,Neutral,High
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",27310.47,1222.23,3292.13,Real Estate,Tax Planning,Debt Reduction,Implemented,Very Satisfied,Neutral,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",80909.12,1601.01,2382.97,Fixed Deposits,Debt Management,Tax Savings,Not Implemented,Very Unsatisfied,Satisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",31867.88,697.42,3567.87,Stocks,Tax Planning,High ROI Investments,Seeking Further Consultation,Satisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",48307.9,0.0,4976.89,Cryptocurrency,Tax Planning,Increase Savings,Partially Implemented,Very Unsatisfied,Neutral,Moderate
